id,type,canonical_name,introduced_floor,description,system_quote,notes
human,race,Human,0,"Humans are a seeded race, sown by the Syndicate onto compatible worlds and left to grow unattended for thousands of years. Once a civilization takes hold — and as long as it has a working government — the Syndicate stages ""First Contact,"" a legal milestone that clears it to return a couple thousand years later and strip the planet of its resources.",,Default race before third-floor selection.
cat,race,Cat,0,"The cat (Felis catus), or the house cat, is the only domesticated species in the family Felidae. Cats have strong flexible bodies, quick reflexes, retractable claws, sharp teeth, and well-developed night vision and sense of smell. Cats can hear sounds too faint or high-pitched for human ears, and both secrete and perceive pheromones.",,
primal,race,Primal,3,"Primals are known as the ""boogiemen of the cosmos"" and were the first known species to conquer the universe. After a great war spanning all corners of the galaxies, they vanished, leaving behind mysterious remnants of their civilization and technology, including Primal Engines.","For the first several seasons of Dungeon Crawler World, all contestants started off as Primals…","Carl's race, selected on the third floor."
bopca_race,race,Bopca,1,"Bopca are a stout, green-tinted, hairy dwarfish race that smell vaguely like wet moss. The females and males are equally shaggy. In general, Bopca are good cooks but known for having ""a miserly streak""; giving discounts goes against their better nature.",,Safe-room attendant species.
compensated_anarchist,class,Compensated Anarchist,3,,,Carl's class. Monk/rogue hybrid.
former_child_actor,class,Former Child Actor,3,,,"Donut's class. Bard/rogue jack-of-all-trades, Earth class."
artist_alley_mogul,class,Artist Alley Mogul,3,,,"Donut's merchant class, taken alongside Former Child Actor."
monster_truck_driver,class,Monster Truck Driver,3,,,"Katia Grim's class. Jouster, Earth class."
prizefighter,class,Prizefighter,3,,,Monk class.
bomb_squad_tech,class,Bomb Squad Tech,3,,,Earth class.
shieldmaiden,class,Shieldmaiden,3,,,Hekla's class. Berserker.
swashbuckler,class,Swashbuckler,3,,,Bautista's class. Swordsman.
necrobard,class,NecroBard,3,,,Bard class.
blizzardmancer,class,Blizzardmancer,3,,,Elle McGibbons's third-floor class.
explosives_handling,skill,Explosives Handling Skill,1,"Leveling up the skill allows crawlers to view more detailed information when inspecting explosives using the Heads-Up Display (HUD), and unlocks more crafting options. At Explosives Handling level 5, the crawler gains: * The crawler now receive additional information when inspecting explosive devices, such as Type, Status, and more details. See Goblin Smoke Bomb for an example.",,
ied_skill,skill,IED Skill,1,"IED is a skill gained and leveled by building improvised explosive devices (IEDs). Each level in the IED Skill increases the damage of improvised explosives by 10%, and decreases the chance of early detonation by 1/2.",It’s one thing to take a grenade and toss it…,
goblin_explosives,skill,Goblin Explosives Skill,1,The Goblin Explosives Skill is a skill gained and leveled by handling gunpowder and goblin-made explosives such as Goblin Dynamite and Goblin Smoke Bombs. These devices are notoriously unstable.,,
iron_punch,skill,Iron Punch Skill,1,"Iron Punch is a monk/fighter skill that increases the amount of ""enhanced fist"" punching damage a crawler deals by 10% per skill level when the crawler wears a war gauntlet or lumper. It does not negate ""bare knuckle"" bonuses granted by the Pugilism Skill or Powerful Strike Skill. At level 10 it gains an upgrade called the Breadbasket Effect which provides a 10% chance to stun a mob for several seconds.",When simple brutality isn’t enough. Newsboy cap not included…,
regeneration_skill,skill,Regeneration Skill,1,"At level 7, it can restore the crawler to full Health in approximately two minutes.",,
light_on_your_feet,skill,Light on Your Feet Skill,1,Light on Your Feet is a skill that allows a crawler to jump higher and farther with each skill level.,,
foot_soldier,skill,Foot Soldier Skill,1,Category:Needs photo Foot Soldier is a melee skill that increases the damage a crawler does by kicking.,,
determine_value,skill,Determine Value Skill,1,"Determine Value is a skill that can most likely only be learned from a Skill Potion received in Loot Boxes. The first level of the skill allows a crawler to sort their inventory by item value, but the crawler cannot see the item's actual value or include items currently equipped.","Hopefully now you’ll realize all those Magic: The Gathering cards are nothing more than just meaningless pieces of paper, and you should have spent your money…",
chopper_pilot,skill,Chopper Pilot Skill,1,"The Chopper Pilot Skill is gained and leveled by driving a chopper, including Dungeon-made contraptions such as the Goblin Copper Chopper. Choppers are custom motorcycles ""chopped"" from existing motorcycles or built from scratch, which are marked by long front ends and frames without rear suspension. See Also: Goblin Copper Chopper#Operation for examples of leveling up",,
dangerous_explosives,skill,Dangerous Explosives Handling Skill,1,"--> It most likely operates similar to the Explosives Handling Skill, in that higher levels of the skill allow crawlers to view more information about dangerous explosives.",,
character_actor,skill,Character Actor Skill,3,,,Grants Donut an extra class each floor.
magic_missile,skill,Magic Missile,1,"Magic Missile is basic ranged attack spell that shoots hot laser bolts from the caster's eyes, one bolt after another. They look like laser blasts from a sci-fi movie, and can ""be a little loud."" The attack's power and operation change as it levels up. It can be modified by items such as the Prism Industries Capacitating and Focusing Goggles.",,Spell.
fire_fingers,skill,Fire Fingers Spell,1,"Category:Needs photo Fire Fingers is a (presumably) low-cost spell that some crawlers learned on the First Floor. For thirty-one hours after the Dungeon opened, until the first patch update, the spell was not safe to cast.",,Spell.
confusing_fog,skill,Confusing Fog Spell,1,"The billowing cloud of fog is initially opaque but immediately becomes translucent to the caster, crawlers, and white-tagged NPCs; however, mobs remain blinded for its duration. While the fog is active, water beads on the ground and every surface. Scrolls of Confusing Fog are commonly received in Loot Boxes on the First Floor and Second Floor. Scrolls can be casted without spending mana points or learning the spell.",,Spell.
puddle_jumper,skill,Puddle Jumper Spell,1,"Puddle Jumper costs (20) mana to cast, and allows the caster and up to three other crawlers, NPCs, or pets to teleport to a surface within line of sight. The maximum allowable teleport distance increases with spell level, but the exact allowable distance is hidden. If the caster tries to teleport to a location that's too far way the spell will fail to cast.",,Spell.
minion_army,skill,Minion Army Spell,1,"The caster must have line of sight on their targets before they can begin casting. After spending (50) mana points, the caster is Rooted in Place for the full casting period (5 minutes at level one, 4 minutes at higher levels) and is surrounded by a shimmering golden glow that intensifies as the timer counts down. The glow is visible even if the caster is invisible.",,Spell.
fear_spell,skill,Fear Spell,3,"If Fear is attempted to be cast on mobs that are scary themselves (such as Terror the Clown), the crawler will receive the following message: Warning: scary-ass mobs are immune to Fear effects. Entities under the Magical Fervor buff will be immune to Fear. An Alarm Module can be imbued with Fear, but for crawlers with a low Trap Engineer Skill, this can only be done at a Sapper's Table.","Cost: 3 Mana If successfully cast, the effected mob either runs away, or stands its ground, but its Dexterity is lowered by an increasing amount per…",Spell granted by Compensated Anarchist.
trollskin_shirt,item,Enchanted Trollskin Shirt of Pummeling,1,The Enchanted Trollskin Shirt of Pummeling is magical under-armor for melee fighters and tanks: it buffs health regeneration and makes the wearer immune to melee damage debuffs. This item can be upgraded. It is a form-fitting short-sleeve shirt that feels cool to the touch and is made of troll skin.,The wearer of this shirt gains +7 to the Regeneration skill…,Worn by Carl from the first hour.
nightgaunt_cloak,item,Enchanted Nightgaunt Cloak of Stoutness,1,"The wearer of this cloak gains +4 to Constitution and becomes resistant to poison and ice-based attacks. In addition, the cloak adds Anti-Piercing resistance to all worn armor. It also makes you look like a dollar store Batman. Warning: if a Nightgaunt spies you wearing this, they probably won’t be too happy with you.",,Attached to Carl's leather coat. Occupies the neck slot.
splatter_skunk_toe_ring,item,Enchanted Toe Ring of the Splatter Skunk,1,,Imbues wearer with +3 Strength and gives +3 to the Powerful Strike Skill…,Worn on Carl's right index toe.
goblin_pass_tattoo,item,Goblin Pass Tattoo,1,The Goblin Pass is a goblin skull tattoo that marks the bearer as a friend of the goblins. It is safe to assume that any crawler might receive this tattoo the first time they cause an explosion worthy of a Goblin Box.,Now you’ll never get a good job!…,Carl's left inner forearm.
desperado_pass_tattoo,item,Desperado Pass Tattoo,1,"The Desperado Pass is a tattoo that grants crawlers access to the Desperado Club, and may be received in an Asshole's Box and/or after a crawler earns their first Player-Killer Skull. The tattoo burns as it is applied to the crawler's neck (or, if a cat, above the right shoulder blade), and looks like a dagger dripping blood.",Now you’re running with the type of kids who sit in the back of the bus…,Carl's neck. Grants club access.
healing_potion,item,Healing Potion,1,"The Standard Healing Potion is red and contained in a corked glass bottle approximately 1/3 the size of a coke bottle. When consumed (rather than administered directly from inventory), it tastes like kiwi juice. It heals 50% + of a crawlers' health, but it has no effect on pets. The Standard Healing Potion is sorted under the ""Potions"" and ""Healing"" inventory submenus, and can stack up to 999 per slot.",Increases your health by at least 50%…,
mana_potion,item,Mana Potion,1,Regular Mana Potions instantly and completely refill a character's Mana Points. These are commonly found in Loot Boxes on the first six floors of the Dungeon. : See Also: Good Mana Potion,,
iron_skin_potion,item,Iron Skin Potion,1,"An Iron Skin Potion (or Potion of Iron Skin) is a single-use consumable potion that increases a crawler's ""physical armor"" by 100% for 5 minutes.",,
skill_potion,item,Skill Potion,1,"A Skill Potion is a special potion that, when consumed, adds a single level to a skill specified in the item's description. Typically received in Loot Boxes, Skill Potions may be the only way to unlock certain Crawler Menu options such as sorting inventory by value.",Drinking this adds a single level to the Determine Value skill…,
goblin_dynamite,item,Goblin Dynamite,1,"Goblin Dynamite is an extremely volatile explosive created by Goblins. The red stick is wet and sticky, and the long wick hisses and pops like a sparkler when lit. The wick must be physically lit using a lighter or mechanism.",The System AI whispers the description in its game show voice: Goblin Dynamite…,
goblin_smoke_bomb,item,Goblin Smoke Bomb,1,"Category:Needs photo Goblin Smoke Bombs are apple-sized spherical bombs with wicks. After the wick is lit and the fire ignites the bomb, they emit a cloud of stinking, multi-color, opaque smoke that covers a 10 meter radius for three minutes (180 seconds) before dispersing.",Most crawlers can only view cursory information about Goblin Smoke Bombs and other explosives…,
torch_item,item,Torch,1,,,
crawler_biscuit,item,Crawler Biscuit,1,Crawler Biscuits are food items that may be received in Bronze and Silver Adventurer Boxes.,,
enhanced_pet_biscuit,item,Enhanced Pet Biscuit,1,"Going through Third Floor Class race selection won't undo the changes from the Enhanced Pet Biscuit, but if the pet has been reclassified as a Crawler after using the biscuit, they can choose to change their race.","So, it looks like a regular pet biscuit…",
experience_cookies,item,Experience Cookies,1,"Experience Cookies look like chocolate chip cookie and taste stale but grant +10 experience (shared among party members) when consumed. A member of your party would get 0.2 of that experience. The experience notification appears above the crawler's head with an audible ping. These cookies may be found in limited-service Safe Rooms on the First Floor, where crawlers are limited to one per day.",,
permacube,item,Permacube,1,"A permacube generates heat when combined with combustible material such as coal. It has an extremely long lifespan and goes dormant when it runs out of coal, but does not turn off. It reactivates a few minutes after the material is shoveled in. In the Dungeon, Goblins use permacubes instead of Lesser Demons to power steam engines. : See Also: Goblin Copper Chopper",,
slate_butterfly_talisman,item,Talisman of the Slate Butterfly,1,"The Talisman of the Slate Butterfly is a small silver butterfly charm on a small silver ring, so it can be attached to collars or other jewelry. It jingles when it moves. See also: Stuffed Slate Butterfly Figure (Book 5)",Talisman of the Slate Butterfly Those who remember and commemorate the sad tale of the Slate Butterfly are given a boon by the fairies of the…,
silver_ring,item,Silver Ring,1,"Category:Needs photo Silver Ring is simple rings that, when equipped on a crawler's finger, boost a specific stat by a set value. They can be found in Silver Loot Boxes.",,
leather_coat,item,Leather Coat,0,,,Carl's own coat. The right sleeve is dissolved by a slime on the first floor.
pink_crocs,item,Bea's Pink Croc Sandals,0,,,Ill-fitting. What Carl was wearing when the Transformation hit.
zippo,item,Zippo Lighter,0,,,
pedicure_kit,item,Enchanted Pedicure Kit of the Sylph,2,"The Enchanted Pedicure Kit of the Sylph is a black, zippered folder containing (12) metal pedicure tools. If the crawler makes a show of using some of the tools for ~15 minutes, multiple daily buffs will activate, and their feet will glitter.",This kit contains 12 essential items for proper foot care…,Carl begins using it on the second floor.
jug_o_boom,item,Carl's Jug O'Boom,2,"Carl's Jug O'Boom is crafted by emptying a clay Rev-Up Toilet-Grade Moonshine jug to about 3/4 full, adding a few ounces of Goblin Oil, and corking the bottle with a Torch. The crawler only has to look at the Torch, select ""Activate"" in their Heads-Up Display (HUD), and throw the bottle.","Carl’s Jug O’ Boom Type: Incendiary Tossable Effect: When lit and tossed, results in a small explosion, followed by burning splash damage over a wide area…",
moab,item,Mother of All Bombs,2,,,
goblin_oil,item,Goblin Oil,2,Goblin Oil is a liquid combustible that can be mixed with other flammable substances to create highly effective incendiary weapons.,,
mana_toast,item,Mana Toast,2,Mana Toast is a burned triangle of toast that restores mana.,,
bronze_box,item,Bronze Box,1,,,
silver_box,item,Silver Box,1,,,
gold_box,item,Gold Box,1,,,
platinum_box,item,Platinum Box,1,,,
boss_box,item,Boss Box,1,"A Boss Box is a specialized loot container that the Dungeon AI awards to the specific Crawler (or crawlers) responsible for killing a Boss. The box's tier corresponds to the boss's rank, ranging from Bronze for the weakest bosses up through Celestial for the strongest.",,
goblin_box,item,Goblin Box,1,"Goblin Boxes are a type of Loot Box awarded for using explosives, and generally contain more explosives. Carl received these on the first and second floors, and received similar loot in unspecified boxes on the Third Floor. The boxes appear to be haphazardly assembled with bits of metal, colored by tier, and have a goblin skull etched onto the lid.",,
benefactor_box,item,Benefactor Box,1,"Only a sponsor can send one, and the sponsor chooses the item personally. Because the contents come from outworld commerce rather than the dungeon's own loot tables, a box can deliver gear that is otherwise impossible to find inside, such as a pulse rifle or automated power armor.",,
magic_item_box,item,Magic Item Box,1,A Magic Item Box is a type of Loot Box that appears to be awarded to crawlers who practice magic on the First Floor.,,
mechanics_box,item,Mechanic's Box,1,Mechanic's Boxes are Loot Boxes awarded for building contraptions inside the Dungeon. They typically contain crafting tools.,,
crowd_control_box,item,Crowd Control Box,1,The Crowd Control Box is a Loot Box distributed for dispatching multiple mobs in a single attack.,,
goblins,monster,Goblins,1,"Goblins are small, reckless, and mechanically gifted humanoids. They build complex steam-powered machines—using coal and water stored in a permacube instead of a lesser demon—including the Goblin Murder Dozer and Goblin Copper Chopper. Their society is structured around clan loyalty.",What Goblins lack in physical strength they make up in pure spunk.,
slime,monster,Slime,1,"Slimes are toxic, arm-less mobs found on at least the First Floor and Seventh Floor of the Dungeon.",,
rats,monster,Rats,1,,,
rat_kin,monster,Rat-kin,1,"Rat-kin are bipedal, furry, rat-like creatures that stand around 5 ft (1.5 meters) tall. They appear to wear clothing.",,
bugaboo,monster,Bugaboo,1,"Approximately 7 ft tall, Bugaboos look both ""terrifying and cartoonish."" They take the general shape of a bear with no neck, enormous owl-like eyes, ""comically skinny legs,"" and long but ""absurdly thin"" arms. They are covered in obsidian-colored hair.","You know that creepy, unkempt guy who lives on the corner?…",
hoarder,monster,Hoarder,1,"The Hoarder appears to be a 15' (4.5m) tall ""enormously"" obese human woman, approximately 35 years old, with matted black hair and open sores and scabs across her skin. She has only one tooth. She wears a filthy ripped t-shirt, no bra, and tight blue sweatpants with PINK on the leg.","Trapped in her pile of rubbish, abandoned by society, the war inside her head has seeped out of her mind and infected both her body and…",
tuskling,monster,Tuskling,1,"Tusklings are pink-scorned orcs with wide warthog-like heads that sit too close to their shoulders and wide torsos about 1.5 times larger than a human's, but are comically stubby from the waist down; they stand roughly 4' 6"" tall. Their faces are marked by black eyes and four crossed tusks: two long, curved tusks at the front, and a second pair further back. Some female Tusklings choose to pierce their tusks.",,
troglodyte,monster,Troglodyte,1,"Troglodytes are muscular, humanoid mobs dressed in loincloths. Their head and torsos resemble Komodo dragons, but their scaly legs are long and bent, almost kangaroo-like. Their attacks may inflict a devastatingly painful Poison Debuff.",,
chilly_goat,monster,Chilly Goat,1,"Chilly Goats are a mob found on the First Floor. They are white, horned goats with mouths full of fangs.",,
bad_llama,monster,Bad Llama,1,"With giant yellow buckteeth and tan fur, Bad Llamas are approximately the size of a horse. A pouch in their throats allows them to spit red, baseball-sized gobs of scorching lava-spit from their mouths. It glows red when they prepare to spit; if the pouch is ruptured during this stage, it will burn the llama's throat and kill it. The lava spit smells of sulfur and cools from crimson to red.","It’s a llama, but it’s bad…",
blender_fiend,monster,Blender Fiend,1,"Blender Fiends are an unknown mob type that initially populated the First Floor, but were relocated to a lower level some 62 hours after the Dungeon opened due to concerns that they may wipe out the crawlers.",,
scat_thug,monster,Scat Thug,1,"Category:Needs photo Scat Thugs are level 3 First Floor mobs. They are bipedal racoon-headed monsters that stand approximately 2 ft tall, are roughly as strong as Goblins, and are armed with spears.",,
kobold,monster,Kobold,2,"Kobolds are a Second Floor mob that resemble chihuahuas in size and appearance, but stand upright and walk on their hind legs. They wear metal caps with a spike, and chainmail armor that appears to have been made from beer tabs.",,
brain_boiler,monster,Brain Boiler,2,Brain Boilers look like a cross between a squid and an umbrella. They have a psionic attack that can be countered with high charisma. The Fear Spell is ineffective on them.,,
clurichaun,monster,Clurichaun,2,"Small and troll-like with humanoid bodies and oversized heads, Clurichaun are marked by curly black hair, hooked noses, small feet, and very few teeth. They make a puglike gurgling noise when attack.","If you hear banjo music, run…",
danger_dingo,monster,Danger Dingo,2,"Danger Dingoes are roughly the size of mastiffs (which typically stand 2' 6""+ tall and weigh 120-230 lbs), with absurdly long and sharp fangs that make them look ""almost prehistoric."" The fur on their faces looks like heavy metal corpse paint. When killed, they drop ""Poor Dingo Pelts"" and/or a few gold coins.",The AI approximated a terrible Australian accent…,
frenzied_gerbil,monster,Frenzied Gerbil,2,Category: needs photo are a mob found on the Second Floor and Fifth Floor.,"From the description of Ralph: Part earth rodent, part the embodiment of death, Frenzied Gerbils are regular mobs one might encounter on the fifth or seventh…",
mind_horror,monster,Mind Horror,2,"Mind Horrors are jellyfish-like floating brains with dangling tentacles. They are physically weak and move slowly, and their bodies have the ""consistency of a jam-filled kickball""; sometimes they bounce when they hit the ground, sometimes they splatter. They have a psionic attack that does not seem to affect crawlers with high Intelligence, but causes a nearly debilitating health-sapping headache in other creatures.",,
rage_elemental,monster,Rage Elemental,2,"Rage Elementals are creatures of intangible smoke and physical claws, capable of shredding a body into ribbons and raking up dungeon stone as they run. They are almost entirely non-corporeal: arrows shatter against the smoke without generating a health bar at all, and a Magic Missile raises only a flicker of one before the creature heals itself. That self-healing slows noticeably against burning damage.","Rage Elemental – Level 93 The first recorded summoning of a Rage Elemental, blah, blah, blah…",
krakaren_clone,monster,Krakaren Clone,2,,,
war_gauntlet_of_the_exalted_grull,item,Enchanted War Gauntlet of the Exalted Grull,1,,,From the wiki's per-floor character sheets.
boxer_shorts,item,Unenchanted Boxers,1,,,From the wiki's per-floor character sheets.
spiked_kneepads_of_the_shade_gnoll_riot_forces,item,Enchanted Spiked Kneepads of the Shade Gnoll Riot Forces,1,,,From the wiki's per-floor character sheets.
bare_knuckle_skill,skill,Bare Knuckle Skill,1,,,From the wiki's per-floor character sheets.
powerful_strike_skill,skill,Powerful Strike Skill,1,,,From the wiki's per-floor character sheets.
pugilism_skill,skill,Pugilism Skill,1,,,From the wiki's per-floor character sheets.
smush_skill,skill,Smush Skill,1,,,From the wiki's per-floor character sheets.
unarmed_combat_skill,skill,Unarmed Combat Skill,1,,,From the wiki's per-floor character sheets.
bigboi_boxers,item,Enchanted BigBoi Boxers,2,,,From the wiki's per-floor character sheets.
aiming_skill,skill,Aiming Skill,2,,,From the wiki's per-floor character sheets.
slingshot_skill,skill,Slingshot Skill,2,,,From the wiki's per-floor character sheets.
steady_hand_skill,skill,Steady Hand Skill,2,,,From the wiki's per-floor character sheets.
incendiary_device_handling_skill,skill,Incendiary Device Handling Skill,2,,,From the wiki's per-floor character sheets.
crown_of_the_sepsis_whore,item,Enchanted Crown of the Sepsis Whore,1,"Enchanted Crown of the Sepsis Whore.' ' Who’s a dirty girl? You’re a dirty girl! ' This is a Fleeting item! This is a Unique* item! Imbues wearer with +5 Intelligence, grants the user +5 to the Good First Impression Skill. All attacks, including magical attacks, now have a 15% chance to inflict the Sepsis Debuff. Warning! (Seriously though. I’m going to say this again. WARNING!",,From the wiki's per-floor character sheets.
fae_scale_quadruped_crupper_of_the_fleet,item,Enchanted Fae Scale Quadruped Crupper of the Fleet,1,,,From the wiki's per-floor character sheets.
bracelet,item,Bracelet,1,,,From the wiki's per-floor character sheets.
back_claw,skill,Back Claw,1,,,From the wiki's per-floor character sheets.
dodge_skill,skill,Dodge Skill,1,,,From the wiki's per-floor character sheets.
good_first_impression_skill,skill,Good First Impression Skill,1,,,From the wiki's per-floor character sheets.
slice_attack,skill,Slice Attack,1,,,From the wiki's per-floor character sheets.
torch_spell,skill,Torch Spell,1,,,From the wiki's per-floor character sheets.
second_chance_spell,skill,Second Chance Spell,2,,,From the wiki's per-floor character sheets.
1914_box,item,1914 Box,9,,,
1965_harley_davidson_motorcycle,item,1965 Harley Davidson Motorcycle,4,,,
